ぜんこくずかんナンバー,おなまえ,インデックス1,インデックス2,インデックス3,タイプ1,タイプ2,特性1,特性2,隠れ特性,HP,こうげき,ぼうぎょ,とくこう,とくぼう,すばやさ,合計,種族値列,初登場作品,出身地,初登場世代,分類,進化段階,属性1,属性2,属性3,英語名,中国語繁体,英語名由来
819,ホシガリス,,,,ノーマル,,ほおぶくろ,,くいしんぼう,70,55,55,35,35,25,275,70 55 55 35 35 25 合計275,SWSH,ガラル,8,ほおばりポケモン,進化前,序盤ノーマル,,,Skwovet,貪心栗鼠,squirrel(リス) + covet(切望する、欲しがる)
820,ヨクバリス,,,,ノーマル,,ほおぶくろ,,くいしんぼう,120,95,95,55,75,20,460,120 95 95 55 75 20 合計460,SWSH,ガラル,8,よくばりポケモン,最終進化,序盤ノーマル,,,Greedent,藏飽栗鼠,greed(貪欲、欲張り) + rodent(げっ歯類、齧歯類)
821,ココガラ,,,,ひこう,,するどいめ,きんちょうかん,はとむね,38,47,35,33,35,57,245,38 47 35 33 35 57 合計245,SWSH,ガラル,8,ことりポケモン,進化前,序盤飛行,,,Rookidee,稚山雀,rookie(ルーキー、新入り) + chickadee(コガラ)
822,アオガラス,,,,ひこう,,するどいめ,きんちょうかん,はとむね,68,67,55,43,55,77,365,68 67 55 43 55 77 合計365,SWSH,ガラル,8,カラスポケモン,中間進化,序盤飛行,,,Corvisquire,藍鴉,corvine(カラスの) + squire(騎士の従者、大地主)
823,アーマーガア,,,,ひこう,はがね,プレッシャー,きんちょうかん,ミラーアーマー,98,87,105,53,85,67,495,98 87 105 53 85 67 合計495,SWSH,ガラル,8,カラスポケモン,最終進化,序盤飛行,,,Corviknight,鋼鎧鴉,corvine(カラスの) + squire(騎士の従者、大地主)
824,サッチムシ,,,,むし,,むしのしらせ,ふくがん,テレパシー,25,20,20,25,45,45,180,25 20 20 25 45 45 合計180,SWSH,ガラル,8,ようちゅうポケモン,進化前,序盤虫,,,Blipbug,索偵蟲,blip(ピット鳴る) + bug(虫)
825,レドームシ,,,,むし,エスパー,むしのしらせ,ふくがん,テレパシー,50,35,80,50,90,30,335,50 35 80 50 90 30 合計335,SWSH,ガラル,8,レドームポケモン,中間進化,序盤虫,,,Dottler,天罩蟲,dot(点) + Doppler radar(ドップラーレーダー)
826,イオルブ,,,,むし,エスパー,むしのしらせ,おみとおし,テレパシー,60,45,110,80,120,90,505,60 45 110 80 120 90 合計505,SWSH,ガラル,8,ななほしポケモン,最終進化,序盤虫,,,Orbeetle,以歐路普,orb(球、天体) + lady beetle(テントウムシ)
827,クスネ,,,,あく,,にげあし,かるわざ,はりこみ,40,28,28,47,52,50,245,40 28 28 47 52 50 合計245,SWSH,ガラル,8,きつねポケモン,進化前,,,,Nickit,偷兒狐,nick(盗む、騙す、傷) + kit(子ギツネ)
828,フォクスライ,,,,あく,,にげあし,かるわざ,はりこみ,70,58,58,87,92,90,455,70 58 58 87 92 90 合計455,SWSH,ガラル,8,きつねポケモン,最終進化,,,,Thievul,狐大盜,thieve(盗む) + vulpine(キツネの、狡猾な)
829,ヒメンカ,,,,くさ,,わたげ,さいせいりょく,ほうし,40,40,60,40,60,10,250,40 40 60 40 60 10 合計250,SWSH,ガラル,8,はなかざりポケモン,進化前,,,,Gossifleur,幼棉棉,gossypium(ワタ属) + fleur(フランス語：花)
830,ワタシラガ,,,,くさ,,わたげ,さいせいりょく,ほうし,60,50,90,80,120,60,460,60 50 90 80 120 60 合計460,SWSH,ガラル,8,わたかざりポケモン,最終進化,,,,Eldegoss,白蓬蓬,elder(年上の、年長の) + gossypium(ワタ属)
831,ウールー,,,,ノーマル,,もふもふ,にげあし,ぼうだん,42,40,55,40,45,48,270,42 40 55 40 45 48 合計270,SWSH,ガラル,8,ひつじポケモン,進化前,序盤ノーマル,,,Wooloo,毛辮羊,wool(羊毛、ウール) + loom(機織り)
832,バイウールー,,,,ノーマル,,もふもふ,ふくつのこころ,ぼうだん,72,80,100,60,90,88,490,72 80 100 60 90 88 合計490,SWSH,ガラル,8,ひつじポケモン,最終進化,序盤ノーマル,,,Dubwool,毛毛角羊,double(倍、ダブル) + wool(羊毛、ウール)
833,カムカメ,,,,みず,,がんじょうあご,シェルアーマー,すいすい,50,64,50,38,38,44,284,50 64 50 38 38 44 合計284,SWSH,ガラル,8,くいつきポケモン,進化前,,,,Chewtle,咬咬龜,chew(噛む、よく考える) + turtle(カメ)
834,カジリガメ,,,,みず,いわ,がんじょうあご,シェルアーマー,すいすい,90,115,90,48,68,74,485,90 115 90 48 68 74 合計485,SWSH,ガラル,8,かみつきポケモン,最終進化,,,,Drednaw,暴噬龜,dreadnought(弩級戦艦.) + gnaw(ガリガリかじる)
835,ワンパチ,,,,でんき,,たまひろい,,びびり,59,45,59,49,59,26,297,59 45 59 49 59 26 合計297,SWSH,ガラル,8,こいぬポケモン,進化前,序盤電気,,,Yamper,來電汪,yap(キャンキャン吠える) + ampere(アンペア) + scamper(跳ね回る)
836,パルスワン,,,,でんき,,がんじょうあご,,かちき,60,90,60,90,60,121,481,60 90 60 90 60 121 合計481,SWSH,ガラル,8,いぬポケモン,最終進化,序盤電気,,,Boltund,逐電犬,volt(ボルト) + hound(猟犬)
837,タンドン,,,,いわ,,じょうききかん,たいねつ,もらいび,30,40,50,40,50,30,240,30 40 50 40 50 30 合計240,SWSH,ガラル,8,せきたんポケモン,進化前,,,,Rolycoly,小炭仔,roly-poly(まるまるした人) + coal(石炭)
838,トロッゴン,,,,いわ,ほのお,じょうききかん,ほのおのからだ,もらいび,80,60,90,60,70,50,410,80 60 90 60 70 50 合計410,SWSH,ガラル,8,せきたんポケモン,中間進化,,,,Carkol,大炭車,cart(カート、荷車) + coal(石炭)
839,セキタンザン,,,,いわ,ほのお,じょうききかん,ほのおのからだ,もらいび,110,80,120,80,90,30,510,110 80 120 80 90 30 合計510,SWSH,ガラル,8,せきたんポケモン,最終進化,,,,Coalossal,巨炭山,coal(石炭) + colossal(巨大な)
840,カジッチュ,,,,くさ,ドラゴン,じゅくせい,くいしんぼう,ぼうだん,40,40,80,40,40,20,260,40 40 80 40 40 20 合計260,SWSH,ガラル,8,りんごぐらしポケモン,進化前,,,,Applin,啃果蟲,apple(リンゴ) + inside(内側)
841,アップリュー,,,,くさ,ドラゴン,じゅくせい,くいしんぼう,はりきり,70,110,80,95,60,70,485,70 110 80 95 60 70 合計485,SWSH,ガラル,8,りんごはねポケモン,最終進化,,,,Flapple,蘋裹龍,flap(羽ばたく) + apple(リンゴ)
842,タルップル,,,,くさ,ドラゴン,じゅくせい,くいしんぼう,あついしぼう,110,85,80,100,80,30,485,110 85 80 100 80 30 合計485,SWSH,ガラル,8,りんごじるポケモン,最終進化,,,,Appletun,豐蜜龍,apple(リンゴ) + ton(トン)
843,スナヘビ,,,,じめん,,すなはき,だっぴ,すながくれ,52,57,75,35,50,46,315,52 57 75 35 50 46 合計315,SWSH,ガラル,8,すなへびポケモン,進化前,,,,Silicobra,沙包蛇,silicon(ケイ素、シリコン) + cobra(コブラ)
844,サダイジャ,,,,じめん,,すなはき,だっぴ,すながくれ,72,107,125,65,70,71,510,72 107 125 65 70 71 合計510,SWSH,ガラル,8,すなへびポケモン,最終進化,,,,Sandaconda,沙螺蟒,sand(砂) + anaconda(アナコンダ)
845,ウッウ,,,,ひこう,みず,うのミサイル,,,70,85,55,85,95,85,475,70 85 55 85 95 85 合計475,SWSH,ガラル,8,うのみポケモン,進化しない,,,,Cramorant,古月鳥,cram(詰め込む) + cormorant(鵜、貪欲な人)
846,サシカマス,,,,みず,,すいすい,,スクリューおびれ,41,63,40,40,30,66,280,41 63 40 40 30 66 合計280,SWSH,ガラル,8,とつげきポケモン,進化前,,,,Arrokuda,刺梭魚,arrow(矢) + barracuda(カマス)
847,カマスジョー,,,,みず,,すいすい,,スクリューおびれ,61,123,60,60,50,136,490,61 123 60 60 50 136 合計490,SWSH,ガラル,8,くしざしポケモン,最終進化,,,,Barraskewda,戽斗尖梭,barracuda(カマス) + skewer(串にさす、焼き串)
848,エレズン,,,,でんき,どく,びびり,せいでんき,ぶきよう,40,38,35,54,35,40,242,40 38 35 54 35 40 合計242,SWSH,ガラル,8,あかごポケモン,進化前,,,,Toxel,毒電嬰,toxic(有毒な) + electric(電気の)
849,ストリンダー(ハイなすがた),ストリンダー,ストリンダーハイ,ハイなすがた,でんき,どく,パンクロック,プラス,テクニシャン,75,98,70,114,70,75,502,75 98 70 114 70 75 合計502,SWSH,ガラル,8,パンクポケモン,最終進化,,,,Toxtricity,顫弦蠑螈,toxic(有毒な) + electricity(電気)
849.1,ストリンダー(ローなすがた),ストリンダーロー,,ローなすがた,でんき,どく,パンクロック,マイナス,テクニシャン,75,98,70,114,70,75,502,75 98 70 114 70 75 合計502,SWSH,ガラル,8,パンクポケモン,最終進化,,,,,,
850,ヤクデ,,,,ほのお,むし,もらいび,しろいけむり,ほのおのからだ,50,65,45,50,50,45,305,50 65 45 50 50 45 合計305,SWSH,ガラル,8,はつねつポケモン,進化前,,,,Sizzlipede,燒火蚣,sizzle(ジュージューいう) + centipede(ムカデ)
851,マルヤクデ,,,,ほのお,むし,もらいび,しろいけむり,ほのおのからだ,100,115,65,90,90,65,525,100 115 65 90 90 65 合計525,SWSH,ガラル,8,はつねつポケモン,最終進化,,,,Centiskorch,焚焰蚣,centipede(ムカデ) + scorch(焦がす、焼く)
852,タタッコ,,,,かくとう,,じゅうなん,,テクニシャン,50,68,60,50,50,32,310,50 68 60 50 50 32 合計310,SWSH,ガラル,8,だだっこポケモン,進化前,,,,Clobbopus,拳拳蛸,clobber(殴り倒す) + octopus(タコ)
853,オトスパス,,,,かくとう,,じゅうなん,,テクニシャン,80,118,90,70,80,42,480,80 118 90 70 80 42 合計480,SWSH,ガラル,8,じゅうじゅつポケモン,最終進化,,,,Grapploct,八爪武師,grapple(取っ組み合う) + octopus(タコ)
854,ヤバチャ,,,,ゴースト,,くだけるよろい,,のろわれボディ,40,45,45,74,54,50,308,40 45 45 74 54 50 合計308,SWSH,ガラル,8,こうちゃポケモン,進化前,,,,Sinistea,來悲茶,sinister(不吉な、悪意のある) + tea(茶)
855,ポットデス,,,,ゴースト,,くだけるよろい,,のろわれボディ,60,65,65,134,114,70,508,60 65 65 134 114 70 合計508,SWSH,ガラル,8,こうちゃポケモン,最終進化,,,,Polteageist,怖思壺,poltergeist(ポルターガイスト、音の精) + tea(茶)
856,ミブリム,,,,エスパー,,いやしのこころ,きけんよち,マジックミラー,42,30,45,56,53,39,265,42 30 45 56 53 39 合計265,SWSH,ガラル,8,おだやかポケモン,進化前,,,,Hatenna,迷布莉姆,hat(帽子) + antenna(アンテナ、触角)
857,テブリム,,,,エスパー,,いやしのこころ,きけんよち,マジックミラー,57,40,65,86,73,49,370,57 40 65 86 73 49 合計370,SWSH,ガラル,8,せいしゅくポケモン,中間進化,,,,Hattrem,提布莉姆,hat(帽子) + tremble(震える、ひどく心配する)
858,ブリムオン,,,,エスパー,フェアリー,いやしのこころ,きけんよち,マジックミラー,57,90,95,136,103,29,510,57 90 95 136 103 29 合計510,SWSH,ガラル,8,せいじゃくポケモン,最終進化,,,,Hatterene,布莉姆溫,hat(帽子) + serene(穏やかな、麗らかな)
859,ベロバー,,,,あく,フェアリー,いたずらごころ,おみとおし,わるいてぐせ,45,45,30,55,40,50,265,45 45 30 55 40 50 合計265,SWSH,ガラル,8,いじわるポケモン,進化前,,,,Impidimp,搗蛋小妖,imp(鬼の子、小鬼) + impudent(厚かましい)
860,ギモー,,,,あく,フェアリー,いたずらごころ,おみとおし,わるいてぐせ,65,60,45,75,55,70,370,65 60 45 75 55 70 合計370,SWSH,ガラル,8,しょうわるポケモン,中間進化,,,,Morgrem,詐唬魔,morgue(遺体安置所) + gremlin(小鬼：グレムリン)
861,オーロンゲ,ロンゲ,,,あく,フェアリー,いたずらごころ,おみとおし,わるいてぐせ,95,120,65,95,75,60,510,95 120 65 95 75 60 合計510,SWSH,ガラル,8,ビルドアップポケモン,最終進化,,,,Grimmsnarl,長毛巨魔,grim(恐ろしい、厳格な) + snarl(唸る、ガミガミいう)
862,タチフサグマ,,,,あく,ノーマル,すてみ,こんじょう,まけんき,93,90,101,60,82,95,521,93 90 101 60 82 95 合計521,SWSH,ガラル,8,ていしポケモン,最終進化,追加進化,,,Obstagoon,堵攔熊,obstacle(障害物、妨害) + racoon(アライグマ)
863,ニャイキング,,,,はがね,,カブトアーマー,かたいつめ,はがねのせいしん,70,110,100,50,60,50,440,70 110 100 50 60 50 合計440,SWSH,ガラル,8,バイキングポケモン,最終進化,追加進化,,,Perrserker,喵頭目,purr(ゴロゴロとのどを鳴らす) + berserk(狂暴で)
864,サニゴーン,,,,ゴースト,,くだけるよろい,,ほろびのボディ,60,95,50,145,130,30,510,60 95 50 145 130 30 合計510,SWSH,ガラル,8,さんごポケモン,最終進化,追加進化,,,Cursola,魔靈珊瑚,curse(呪う、罵る) + solar(太陽の)
865,ネギガナイト,,,,かくとう,,ふくつのこころ,,きもったま,62,135,95,68,82,65,507,62 135 95 68 82 65 合計507,SWSH,ガラル,8,かるがもポケモン,最終進化,追加進化,,,Sirfetch'd,蔥遊兵,Sir(男性に対する呼称) + far-fetched(こじつけの)
866,バリコオル,,,,こおり,エスパー,ちどりあし,バリアフリー,アイスボディ,80,85,75,110,100,70,520,80 85 75 110 100 70 合計520,SWSH,ガラル,8,コメディアンポケモン,最終進化,追加進化,,,Mr. Rime,踏冰人偶,Mr.(男性に対する敬称) + rime(霜) + rhyme(韻)
867,デスバーン,,,,じめん,ゴースト,さまようたましい,,,58,95,145,50,105,30,483,58 95 145 50 105 30 合計483,SWSH,ガラル,8,おんねんポケモン,最終進化,追加進化,,,Runerigus,死神板,rune(ルーン文字) + egregious(実にひどい) + Cofagrigus(デスカーン)
868,マホミル,,,,フェアリー,,スイートベール,,アロマベール,45,40,40,50,61,34,270,45 40 40 50 61 34 合計270,SWSH,ガラル,8,クリームポケモン,進化前,,,,Milcery,小仙奶,milk(ミルク) + sorcery(魔法、魔術)
869,マホイップ,,,,フェアリー,,スイートベール,,アロマベール,65,60,75,110,121,64,495,65 60 75 110 121 64 合計495,SWSH,ガラル,8,クリームポケモン,最終進化,,,,Alcremie,霜奶仙,alchemy(錬金術) + creamy(クリーム状の)
870,タイレーツ,,,,かくとう,,カブトアーマー,,まけんき,65,100,100,70,60,75,470,65 100 100 70 60 75 合計470,SWSH,ガラル,8,じんけいポケモン,進化しない,,,,Falinks,列陣兵,phalanx(方陣、密集隊) + links(連結、リンク)
870.1,メガタイレーツ,,,,かくとう,,,,,65,135,135,70,65,100,570,65 135 135 70 65 100 合計670,ZA,カロス,9,じんけいポケモン,進化しない,メガシンカ,,,,,
871,バチンウニ,,,,でんき,,ひらいしん,,エレキメイカー,48,101,95,91,85,15,435,48 101 95 91 85 15 合計435,SWSH,ガラル,8,うにポケモン,進化しない,,,,Pincurchin,啪嚓海膽,pin cushion(針差し、針山) + sea urchin(ウニ)
872,ユキハミ,,,,こおり,むし,りんぷん,,こおりのりんぷん,30,25,35,45,30,20,185,30 25 35 45 30 20 合計185,SWSH,ガラル,8,いもむしポケモン,進化前,,,,Snom,雪吞蟲,snow(雪) + nom(咀嚼音)
873,モスノウ,,,,こおり,むし,りんぷん,,こおりのりんぷん,70,65,60,125,90,65,475,70 65 60 125 90 65 合計475,SWSH,ガラル,8,こおりがポケモン,最終進化,,,,Frosmoth,雪絨蛾,frost(霜、霜柱) + moth(蛾)
874,イシヘンジン,,,,いわ,,パワースポット,,,100,125,135,20,20,70,470,100 125 135 20 20 70 合計470,SWSH,ガラル,8,きょせきポケモン,進化しない,,,,Stonjourner,巨石丁,stone(石) + sojourner(滞在者、逗留者)
875,コオリッポ(アイスフェイス),コオリッポ,コオリッポアイスフェイス,アイスフェイス,こおり,,アイスフェイス,,,75,80,110,65,90,50,470,75 80 110 65 90 50 合計470,SWSH,ガラル,8,ペンギンポケモン,進化しない,,,,Eiscue,冰砌鵝,Eis(ドイツ語：氷) + Cube(立方体)
875.1,コオリッポ(ナイスフェイス),コオリッポナイスフェイス,ナイスフェイス,ナイスフェイス,こおり,,アイスフェイス,,,75,80,70,65,50,130,470,75 80 70 65 50 130 合計470,SWSH,ガラル,8,ペンギンポケモン,進化しない,,,,,,
876,イエッサン(オスのすがた),イエッサン,イエッサン♂,イエッサンオス,エスパー,ノーマル,せいしんりょく,シンクロ,サイコメイカー,60,65,55,105,95,95,475,60 65 55 105 95 95 合計475,SWSH,ガラル,8,かんじょうポケモン,進化しない,,,,Indeedee,愛管侍,indeed (確かに)
876.1,イエッサン(メスのすがた),イエッサン♀,イエッサンメス,,エスパー,ノーマル,マイペース,シンクロ,サイコメイカー,70,55,65,95,105,85,475,70 55 65 95 105 85 合計475,SWSH,ガラル,8,かんじょうポケモン,進化しない,,,,,,
877,モルペコ(まんぷくもよう),モルペコ,まんぷくモルペコ,まんぷくもよう,でんき,あく,はらぺこスイッチ,,,58,95,58,70,58,97,436,58 95 58 70 58 97 合計436,SWSH,ガラル,8,にめんポケモン,進化しない,エレキュート,,,Morpeko,莫魯貝可,モルモット + 腹ペコ
